time,product,api,success,error
13:42:17,ECS,DescribeAvailableResource,1,
13:42:30,VPC,DescribeVpcs,1,
13:42:38,VPC,CreateVpc,1,
13:42:48,VPC,CreateVSwitch,1,
13:43:36,ECS,DescribeSecurityGroups,0,"任务未完成: 缺少资源: SecurityGroup(缺少SecurityGroupId), ECS..."
13:43:50,ECS,CreateSecurityGroup,1,
13:44:19,ECS,RunInstances,1,
13:45:01,ECS,DescribeInstances,1,
13:45:25,VPC,DescribeVSwitches,1,
13:45:41,ECS,DescribeInstances,1,
13:47:56,ECS,DescribeInstances,1,
13:48:10,ECS,DescribeInstances,1,
13:48:37,ECS,DescribeInstances,1,
13:48:57,ECS,DescribeInstances,1,
13:49:10,ECS,DescribeInstances,1,
13:49:22,ECS,DescribeInstances,1,
13:49:48,ECS,DescribeInstances,1,
13:50:06,ECS,DescribeInstances,1,
13:50:27,ECS,DescribeInstances,1,
13:50:46,ECS,DescribeInstances,1,
13:51:03,ECS,DescribeInstances,1,
13:51:23,ECS,DescribeInstances,1,
13:52:01,ECS,StopInstance,0,Instance status must be Running to stop. Current: ...
13:52:31,ECS,DescribeInstances,1,
