time,product,api,success,error
13:47:32,VPC,DescribeVpcs,1,
13:47:37,VPC,CreateVpc,1,
13:48:39,ECS,DescribeVSwitches,0,"任务未完成: 缺少资源: VSwitch(缺少VSwitchId), SecurityGroup(缺..."
13:48:44,VPC,CreateVSwitch,1,
13:48:49,ECS,CreateSecurityGroup,1,
13:49:01,ECS,RunInstances,1,
13:49:08,SLB,CreateLoadBalancer,1,
13:49:15,Redis,CreateInstance,1,
13:49:24,SLB,AddBackendServers,0,The parameter BackendServers must be a JSON string...
13:49:34,SLB,AddBackendServers,1,
13:49:45,SLB,DescribeLoadBalancerListeners,0,The parameter LoadBalancerId value 'lb-357048ea' i...
13:49:52,SLB,CreateLoadBalancerHTTPListener,1,
13:50:03,SLB,StartLoadBalancerListener,1,
