time,product,api,success,error
13:50:40,VPC,DescribeVpcs,1,
13:50:45,VPC,CreateVpc,1,
13:50:51,VPC,CreateVSwitch,1,
13:51:43,ECS,DescribeSecurityGroups,0,"任务未完成: 缺少资源: SecurityGroup(缺少SecurityGroupId), ECS..."
13:51:55,ECS,CreateSecurityGroup,1,
13:52:03,SLB,CreateLoadBalancer,1,
13:52:14,ECS,RunInstances,1,
13:52:22,SLB,AddBackendServers,0,The parameter BackendServers must be a JSON string...
13:52:35,SLB,AddBackendServers,1,
13:52:43,EIP,AllocateEipAddress,1,
13:52:53,EIP,AssociateEipAddress,1,
