time,product,api,success,error
13:55:32,VPC,DescribeZones,1,
13:55:39,VPC,DescribeVpcs,1,
13:55:44,VPC,CreateVpc,1,
13:56:04,VPC,DescribeVSwitches,1,
13:56:11,VPC,CreateVSwitch,1,
13:56:26,VPC,CreateVSwitch,1,
13:56:54,ECS,DescribeSecurityGroups,1,
14:01:35,ECS,CreateSecurityGroup,1,
14:05:50,ECS,DescribeAvailableResource,1,
14:06:07,ECS,AuthorizeSecurityGroup,1,
14:06:21,ECS,RunInstances,1,
14:08:27,ECS,DescribeLoadBalancers,0,"任务未完成: 缺少资源: ECS(需2个,实际1个), SLB(缺少LoadBalancerId),..."
14:10:41,ECS,DescribeLoadBalancers,0,"任务未完成: 缺少资源: ECS(需2个,实际1个), SLB(缺少LoadBalancerId),..."
14:10:59,VPC,CreateVSwitch,1,
14:11:19,ECS,RunInstances,1,
14:13:40,SLB,CreateLoadBalancer,1,
14:17:57,SLB,AddBackendServers,0,The parameter BackendServers must be a JSON string...
14:18:26,SLB,AddBackendServers,1,
14:18:40,SLB,CreateLoadBalancerHTTPListener,1,
14:18:51,RDS,DescribeAvailableZones,1,
14:19:07,RDS,CreateDBInstance,1,
14:19:34,RDS,DescribeDBInstanceAttribute,1,
14:20:50,SLB,StartLoadBalancerListener,1,
14:20:57,RDS,DescribeDBInstanceAttribute,1,
14:21:32,RDS,CreateAccount,1,
