time,product,api,success,error
13:56:58,VPC,DescribeVpcs,1,
13:57:04,VPC,CreateVpc,1,
13:57:17,VPC,DescribeVSwitches,1,
13:57:22,VPC,CreateVSwitch,1,
13:57:29,VPC,CreateVSwitch,1,
13:58:45,ECS,DescribeSecurityGroups,0,"任务未完成: 缺少资源: SecurityGroup(缺少SecurityGroupId), ECS..."
13:58:54,VPC,CreateVSwitch,1,
13:59:01,ECS,CreateSecurityGroup,1,
13:59:17,ECS,RunInstances,1,
13:59:27,ECS,RunInstances,1,
13:59:36,SLB,CreateLoadBalancer,1,
13:59:42,SLB,AddBackendServers,0,The parameter BackendServers must be a JSON string...
13:59:53,SLB,AddBackendServers,1,
14:00:05,SLB,CreateLoadBalancerHTTPListener,1,
14:00:38,RDS,CreateDBInstance,1,
14:00:51,RDS,CreateAccount,1,
