scenario,ip_cov_target,ip_cov_realized,eps_jump,likelihood,method,cover_f1,shd,feas
dual_zone_ecs_slb,0.6,0.8,0.005,baseline,majority,0.9411764705882353,1,1.0
dual_zone_ecs_slb,0.6,0.8,0.005,baseline,inductive_miner_imf,0.6666666666666665,6,1.0
dual_zone_ecs_slb,0.6,0.8,0.005,baseline,heuristics_miner,0.39999999999999997,9,0.0
dual_zone_ecs_slb,0.6,0.8,0.01,baseline,majority,0.9411764705882353,1,1.0
dual_zone_ecs_slb,0.6,0.8,0.01,baseline,inductive_miner_imf,0.6666666666666665,6,1.0
dual_zone_ecs_slb,0.6,0.8,0.01,baseline,heuristics_miner,0.39999999999999997,9,0.0
dual_zone_ecs_slb,0.6,0.8,0.02,baseline,majority,0.9411764705882353,1,1.0
dual_zone_ecs_slb,0.6,0.8,0.02,baseline,inductive_miner_imf,0.6666666666666665,6,1.0
dual_zone_ecs_slb,0.6,0.8,0.02,baseline,heuristics_miner,0.39999999999999997,9,0.0
dual_zone_ecs_slb,0.6,0.8,0.05,baseline,majority,0.9411764705882353,1,1.0
dual_zone_ecs_slb,0.6,0.8,0.05,baseline,inductive_miner_imf,0.6666666666666665,6,1.0
dual_zone_ecs_slb,0.6,0.8,0.05,baseline,heuristics_miner,0.39999999999999997,9,0.0
dual_zone_ecs_slb_rds,0.6,0.6666666666666666,0.005,baseline,majority,0.1904761904761905,17,0.0
dual_zone_ecs_slb_rds,0.6,0.6666666666666666,0.005,baseline,inductive_miner_imf,0.43478260869565216,13,1.0
dual_zone_ecs_slb_rds,0.6,0.6666666666666666,0.005,baseline,heuristics_miner,0.5217391304347826,11,0.0
dual_zone_ecs_slb_rds,0.6,0.6666666666666666,0.01,baseline,majority,0.1904761904761905,17,0.0
dual_zone_ecs_slb_rds,0.6,0.6666666666666666,0.01,baseline,inductive_miner_imf,0.43478260869565216,13,1.0
dual_zone_ecs_slb_rds,0.6,0.6666666666666666,0.01,baseline,heuristics_miner,0.5217391304347826,11,0.0
dual_zone_ecs_slb_rds,0.6,0.6666666666666666,0.02,baseline,majority,0.1904761904761905,17,0.0
dual_zone_ecs_slb_rds,0.6,0.6666666666666666,0.02,baseline,inductive_miner_imf,0.43478260869565216,13,1.0
dual_zone_ecs_slb_rds,0.6,0.6666666666666666,0.02,baseline,heuristics_miner,0.5217391304347826,11,0.0
dual_zone_ecs_slb_rds,0.6,0.6666666666666666,0.05,baseline,majority,0.1904761904761905,17,0.0
dual_zone_ecs_slb_rds,0.6,0.6666666666666666,0.05,baseline,inductive_miner_imf,0.43478260869565216,13,1.0
dual_zone_ecs_slb_rds,0.6,0.6666666666666666,0.05,baseline,heuristics_miner,0.5217391304347826,11,0.0
eip_slb_ecs,0.6,0.875,0.005,baseline,majority,0.8421052631578948,3,1.0
eip_slb_ecs,0.6,0.875,0.005,baseline,inductive_miner_imf,0.25,12,1.0
eip_slb_ecs,0.6,0.875,0.005,baseline,heuristics_miner,0.5555555555555556,8,0.0
eip_slb_ecs,0.6,0.875,0.01,baseline,majority,0.8421052631578948,3,1.0
eip_slb_ecs,0.6,0.875,0.01,baseline,inductive_miner_imf,0.25,12,1.0
eip_slb_ecs,0.6,0.875,0.01,baseline,heuristics_miner,0.5555555555555556,8,0.0
eip_slb_ecs,0.6,0.875,0.02,baseline,majority,0.8421052631578948,3,1.0
eip_slb_ecs,0.6,0.875,0.02,baseline,inductive_miner_imf,0.25,12,1.0
eip_slb_ecs,0.6,0.875,0.02,baseline,heuristics_miner,0.5555555555555556,8,0.0
eip_slb_ecs,0.6,0.875,0.05,baseline,majority,0.8421052631578948,3,1.0
eip_slb_ecs,0.6,0.875,0.05,baseline,inductive_miner_imf,0.25,12,1.0
eip_slb_ecs,0.6,0.875,0.05,baseline,heuristics_miner,0.5555555555555556,8,0.0
simple_ecs,0.6,1.0,0.005,baseline,majority,1.0,0,1.0
simple_ecs,0.6,1.0,0.005,baseline,inductive_miner_imf,0.7272727272727272,3,1.0
simple_ecs,0.6,1.0,0.005,baseline,heuristics_miner,0.6666666666666665,3,0.5
simple_ecs,0.6,1.0,0.01,baseline,majority,1.0,0,1.0
simple_ecs,0.6,1.0,0.01,baseline,inductive_miner_imf,0.7272727272727272,3,1.0
simple_ecs,0.6,1.0,0.01,baseline,heuristics_miner,0.6666666666666665,3,0.5
simple_ecs,0.6,1.0,0.02,baseline,majority,1.0,0,1.0
simple_ecs,0.6,1.0,0.02,baseline,inductive_miner_imf,0.7272727272727272,3,1.0
simple_ecs,0.6,1.0,0.02,baseline,heuristics_miner,0.6666666666666665,3,0.5
simple_ecs,0.6,1.0,0.05,baseline,majority,1.0,0,1.0
simple_ecs,0.6,1.0,0.05,baseline,inductive_miner_imf,0.7272727272727272,3,1.0
simple_ecs,0.6,1.0,0.05,baseline,heuristics_miner,0.6666666666666665,3,0.5
slb_ecs_rds,0.6,0.84375,0.005,baseline,majority,0.23999999999999996,19,0.0
slb_ecs_rds,0.6,0.84375,0.005,baseline,inductive_miner_imf,0.20689655172413796,23,1.0
slb_ecs_rds,0.6,0.84375,0.005,baseline,heuristics_miner,0.5925925925925927,11,0.0
slb_ecs_rds,0.6,0.84375,0.01,baseline,majority,0.23999999999999996,19,0.0
slb_ecs_rds,0.6,0.84375,0.01,baseline,inductive_miner_imf,0.20689655172413796,23,1.0
slb_ecs_rds,0.6,0.84375,0.01,baseline,heuristics_miner,0.5925925925925927,11,0.0
slb_ecs_rds,0.6,0.84375,0.02,baseline,majority,0.23999999999999996,19,0.0
slb_ecs_rds,0.6,0.84375,0.02,baseline,inductive_miner_imf,0.20689655172413796,23,1.0
slb_ecs_rds,0.6,0.84375,0.02,baseline,heuristics_miner,0.5925925925925927,11,0.0
slb_ecs_rds,0.6,0.84375,0.05,baseline,majority,0.23999999999999996,19,0.0
slb_ecs_rds,0.6,0.84375,0.05,baseline,inductive_miner_imf,0.20689655172413796,23,1.0
slb_ecs_rds,0.6,0.84375,0.05,baseline,heuristics_miner,0.5925925925925927,11,0.0
slb_ecs_redis,0.6,0.7333333333333333,0.005,baseline,majority,0.761904761904762,5,1.0
slb_ecs_redis,0.6,0.7333333333333333,0.005,baseline,inductive_miner_imf,0.4444444444444445,10,1.0
slb_ecs_redis,0.6,0.7333333333333333,0.005,baseline,heuristics_miner,0.7368421052631577,5,0.5
slb_ecs_redis,0.6,0.7333333333333333,0.01,baseline,majority,0.761904761904762,5,1.0
slb_ecs_redis,0.6,0.7333333333333333,0.01,baseline,inductive_miner_imf,0.4444444444444445,10,1.0
slb_ecs_redis,0.6,0.7333333333333333,0.01,baseline,heuristics_miner,0.7368421052631577,5,0.5
slb_ecs_redis,0.6,0.7333333333333333,0.02,baseline,majority,0.761904761904762,5,1.0
slb_ecs_redis,0.6,0.7333333333333333,0.02,baseline,inductive_miner_imf,0.4444444444444445,10,1.0
slb_ecs_redis,0.6,0.7333333333333333,0.02,baseline,heuristics_miner,0.7368421052631577,5,0.5
slb_ecs_redis,0.6,0.7333333333333333,0.05,baseline,majority,0.761904761904762,5,1.0
slb_ecs_redis,0.6,0.7333333333333333,0.05,baseline,inductive_miner_imf,0.4444444444444445,10,1.0
slb_ecs_redis,0.6,0.7333333333333333,0.05,baseline,heuristics_miner,0.7368421052631577,5,0.5
dual_zone_ecs_slb,0.7,0.8,0.005,baseline,majority,0.9411764705882353,1,1.0
dual_zone_ecs_slb,0.7,0.8,0.005,baseline,inductive_miner_imf,0.6666666666666665,6,1.0
dual_zone_ecs_slb,0.7,0.8,0.005,baseline,heuristics_miner,0.39999999999999997,9,0.0
dual_zone_ecs_slb,0.7,0.8,0.01,baseline,majority,0.9411764705882353,1,1.0
dual_zone_ecs_slb,0.7,0.8,0.01,baseline,inductive_miner_imf,0.6666666666666665,6,1.0
dual_zone_ecs_slb,0.7,0.8,0.01,baseline,heuristics_miner,0.39999999999999997,9,0.0
dual_zone_ecs_slb,0.7,0.8,0.02,baseline,majority,0.9411764705882353,1,1.0
dual_zone_ecs_slb,0.7,0.8,0.02,baseline,inductive_miner_imf,0.6666666666666665,6,1.0
dual_zone_ecs_slb,0.7,0.8,0.02,baseline,heuristics_miner,0.39999999999999997,9,0.0
dual_zone_ecs_slb,0.7,0.8,0.05,baseline,majority,0.9411764705882353,1,1.0
dual_zone_ecs_slb,0.7,0.8,0.05,baseline,inductive_miner_imf,0.6666666666666665,6,1.0
dual_zone_ecs_slb,0.7,0.8,0.05,baseline,heuristics_miner,0.39999999999999997,9,0.0
dual_zone_ecs_slb_rds,0.7,0.8333333333333334,0.005,baseline,majority,0.34782608695652173,15,0.0
dual_zone_ecs_slb_rds,0.7,0.8333333333333334,0.005,baseline,inductive_miner_imf,0.5217391304347826,11,1.0
dual_zone_ecs_slb_rds,0.7,0.8333333333333334,0.005,baseline,heuristics_miner,0.43478260869565216,13,0.0
dual_zone_ecs_slb_rds,0.7,0.8333333333333334,0.01,baseline,majority,0.34782608695652173,15,0.0
dual_zone_ecs_slb_rds,0.7,0.8333333333333334,0.01,baseline,inductive_miner_imf,0.5217391304347826,11,1.0
dual_zone_ecs_slb_rds,0.7,0.8333333333333334,0.01,baseline,heuristics_miner,0.43478260869565216,13,0.0
dual_zone_ecs_slb_rds,0.7,0.8333333333333334,0.02,baseline,majority,0.34782608695652173,15,0.0
dual_zone_ecs_slb_rds,0.7,0.8333333333333334,0.02,baseline,inductive_miner_imf,0.5217391304347826,11,1.0
dual_zone_ecs_slb_rds,0.7,0.8333333333333334,0.02,baseline,heuristics_miner,0.43478260869565216,13,0.0
dual_zone_ecs_slb_rds,0.7,0.8333333333333334,0.05,baseline,majority,0.34782608695652173,15,0.0
dual_zone_ecs_slb_rds,0.7,0.8333333333333334,0.05,baseline,inductive_miner_imf,0.5217391304347826,11,1.0
dual_zone_ecs_slb_rds,0.7,0.8333333333333334,0.05,baseline,heuristics_miner,0.43478260869565216,13,0.0
eip_slb_ecs,0.7,0.875,0.005,baseline,majority,0.8421052631578948,3,1.0
eip_slb_ecs,0.7,0.875,0.005,baseline,inductive_miner_imf,0.25,12,1.0
eip_slb_ecs,0.7,0.875,0.005,baseline,heuristics_miner,0.5555555555555556,8,0.0
eip_slb_ecs,0.7,0.875,0.01,baseline,majority,0.8421052631578948,3,1.0
